AR05,AR06,AR10,BR05,BR06,BR10,CR05,CR06,CR10
pQBR0001,19613.9365421108,19649.5840396859,24016.0796831951,19924.8045471293,20783.7310720331,27362.8489425568,19794.2069072624,21517.1647060464,24128.1592174252
pQBR0002,14838.4677388458,15527.8777879035,17105.943676279,14804.6908382394,15549.7030036952,19181.9201046077,14348.4968866065,16882.0320570229,20160.8817310901
pQBR0003,6621.80537494186,5949.9008772294,4221.28510506738,4702.57885885399,4813.99996446552,5435.7064093204,6205.77291931121,5751.65761458792,3535.64027397019
pQBR0004,3475.50655739174,5203.4823034223,2955.74136993259,3376.47710888946,4204.62600513417,2276.96847111407,3312.4252416594,5659.68055940604,3812.23707996494
pQBR0005,26631.6182977565,35418.6990075608,19496.2580147171,25431.8876988944,30669.5172524416,20539.9633200252,24734.2801247541,45180.924564314,25570.15643754
pQBR0006,12685.2794244898,21229.7642138672,8189.01497183818,12245.3494726583,16649.6095175287,8829.3045024247,11669.8886021614,20827.6956159999,7897.92841524016
pQBR0007,12282.6675242336,22356.1012137957,7850.16393937799,12882.812113894,18028.1740877247,8698.13988339639,11502.2701493087,20653.4207142749,7181.69471091691
pQBR0008,6305.23804060506,14279.7621053506,4698.10447919952,8649.9583868935,10665.466043722,5351.18336059639,6612.62442190505,13046.5974651562,5147.27058786342
pQBR0009,5676.00153784684,12448.2354972895,4074.15960219161,7436.07377166521,9241.11516232348,4575.39697780356,6419.99940494211,12403.2771137357,4481.93129723547
pQBR0010,3985.55735589431,11569.1482471796,3424.7178878265,5993.75606651958,7766.4410613418,3830.92892133392,4144.01684799351,9326.1241517224,3764.15459041564
pQBR0011,5467.98731538526,10985.5210909502,5173.07223335331,7463.96174644893,8130.41181509449,5793.07972408455,5306.41233281359,10346.9708127995,7285.11256496066
pQBR0012,6412.2069808885,9749.45115727739,4737.9687681453,6743.43811311599,7494.63417756575,4783.44726295261,6130.84926042795,8856.7134751197,5035.25954566942
pQBR0013,202.947620439957,93.5350566247573,104.772608326512,124.971167841252,86.1584115948945,108.921454541259,184.763568971237,127.901732760283,120.805381967759
pQBR0014,5308.02517233284,9407.16524759204,3147.75682948937,5537.9328671379,6050.09313113795,3260.81024814234,5140.80319666549,6592.59882649896,3036.27453949736
pQBR0015,2318.29196062919,5209.04101893795,1884.56673301803,3183.18118168922,3625.17473880935,1913.76422547611,2439.89959819008,3740.1999833287,2058.64220107705
pQBR0016,5023.91783666478,8867.04476713907,3413.00973733572,5533.42926220393,6207.6905184037,2913.55920895729,5821.74306963029,7292.51653023153,3404.08794419015
pQBR0017,3515.73366682264,6296.37431775715,2337.58820548855,3694.10757000817,4480.75642951039,2212.87451659384,3890.31195815602,3995.97887484076,2182.89391309119
pQBR0018,5892.44386473526,10179.5618246368,3966.75023061945,6902.8094428408,7602.6536288767,3950.96111477382,6164.2248699624,8672.46771867645,4587.82596011676
pQBR0019,9815.25895458931,12246.8350203268,5840.87544919844,9547.95978719239,10644.059838471,5572.33660246385,8679.33124170873,12576.8188589415,6846.1973858194
pQBR0020,11534.3366427031,11586.7628986736,6000.40818830272,8596.33662748024,10955.2567986599,4955.50455019035,9290.24667655597,12536.1653246774,6971.26491736157
pQBR0021,1781.53114775347,1838.30009980814,1864.91715123941,1611.0117649601,1747.94581431734,1928.00941207071,1363.35252972004,1889.05069496567,1779.2221515151
pQBR0022,2401.58749644423,2484.2465634504,2835.8717231003,2149.44622984738,2379.52779800622,2553.30043020468,2058.75586733604,2169.85552800111,2334.8608573587
pQBR0023,591.524013902519,813.455736129818,789.167922944201,799.728688650787,639.069411382491,673.543044519511,622.293964937846,861.560283176909,835.667357794603
pQBR0024,746.140715880976,920.62828584243,845.361742960689,920.238847103074,865.991038974391,786.612712957295,779.607651823699,904.606173536979,754.186482021402
pQBR0025,1296.33383895243,1421.81384342932,1080.6876035706,1293.03501659748,1268.56986901166,893.895272869149,1028.85935536391,1236.46954579571,1174.54370206882
pQBR0026,2130.44438367482,2257.73015439085,2687.5504420361,2156.14897757526,2463.83883168514,2965.1506768972,2212.04089560902,2183.08446382316,2570.98006379314
pQBR0027,313.257787644151,392.489659136683,367.609654246766,284.558762455432,518.9913538389,410.710588870223,327.799919558809,660.125062039773,342.783635290965
pQBR0028,684.321356482798,985.622324708325,661.767833750385,679.078054315602,988.653913217838,851.366461739191,587.282870721742,1258.40964773281,724.714235451148
pQBR0029,540.996414263362,1298.21917186763,672.562308523335,523.992012774383,1156.79669104418,835.687562384233,422.356936202977,1534.13314939888,628.068080146027
pQBR0030,647.068538328543,1525.93868467259,727.328609833368,607.543048578604,1503.35595937629,1064.03128712858,476.650696548137,2017.23239824683,1125.1442885726
pQBR0031,710.45421652151,1575.90971425928,976.81470638414,911.39032006871,2021.56548599186,1338.59189499049,559.242153512425,2254.98538727536,925.219396087199
pQBR0032,627.371556149722,1205.09619538615,729.750189615422,650.031190409061,1361.34350688981,990.813664808293,583.58270156713,1360.82342163327,752.16656848282
pQBR0033,1180.73157012822,2542.40618199272,1505.3818949698,859.009276760565,3031.07263829884,2302.21870475557,936.48714164073,3537.81956840197,1487.61527918555
pQBR0034,783.359801795829,1327.70100615175,884.420836720455,644.445336797784,1460.10390689189,1266.76210203046,621.655714717397,1721.35326320884,906.016537266681
pQBR0035,292.043856006729,625.844972754958,374.841014828409,295.550860936567,722.857883877062,577.171675572573,287.322013525588,771.958013726511,422.367476119365
pQBR0036,1342.42601137284,1855.73314441721,1505.11349102016,1611.49764679805,1864.45687071239,1874.80649617812,1255.66734764907,2135.23782940461,1497.86540709625
pQBR0037,862.468697563733,1162.94249063778,967.899334063968,984.359364139061,1189.14901343771,987.161421187768,880.88128169648,1320.91514760757,1052.75590431977
pQBR0038,1101.94247797232,1178.7626624246,1121.13274092425,1079.65030093195,1260.28519790346,1155.81386837829,1061.00304363156,1374.87835215633,1317.78598472361
pQBR0039,610.100801115987,681.985042930688,604.906783911002,527.633090450419,690.691398735931,642.654585339634,613.036699343729,717.729558216797,590.996619645621
pQBR0040,1769.42835463014,2250.61467964764,1953.25337449816,1603.11746283316,2237.99028220849,2882.51158012612,1658.54869785608,2417.36334526159,2400.45142346471
pQBR0041,2002.9947749849,2522.02978114546,2348.40214332129,1792.97987686462,2672.16159016658,3147.11769821269,1678.06418225825,2488.80633386161,2164.37381547998
pQBR0042,1971.52823691831,2238.60445474357,2012.45551541152,1875.97531840147,2120.38432866786,2350.72412517765,1521.08641180375,1965.28026182847,1875.19916049549
pQBR0043,1151.4183499632,1338.66136061576,1358.99510046585,1155.69191897962,1347.62361511568,1518.20329314297,1049.8389377397,1539.59880194653,1888.41265413956
pQBR0044,261.279066075237,243.289720469055,236.78193097854,215.947446419457,211.113789007073,223.085423681422,249.733709207844,201.124892335069,237.90890922957
pQBR0045,519.217442133176,491.146648794047,519.292145099561,527.697310641564,530.304886433309,445.149797694233,529.602626104446,519.346128740207,488.517729393561
pQBR0046,878.686003825085,929.051618707345,975.610709167631,857.351400534539,918.861684609858,938.018704935355,902.900321083251,951.213419655097,909.709446753808
pQBR0047,822.618658732406,888.449081534729,903.063971973558,818.274039325475,880.674809791742,785.916067082965,782.31241306472,877.539095446356,953.354059276702
pQBR0048,1144.53018503929,1265.98611524671,1257.6552446421,1191.54680308547,1330.46438505342,1281.60529693161,1116.07699013969,1423.37773295088,1718.93740281137
pQBR0049,1114.05194435137,1216.97574764447,1175.45026690628,1141.2761358327,1297.6825993426,1261.39358973628,1145.78094918327,1222.40716004948,1152.5457683624
pQBR0050,1863.75566226517,1828.91229023251,1610.16907354938,1859.12636851531,1772.47019884746,1576.67994735186,1657.45604122869,1916.41934783582,1607.77488197994
pQBR0051,1562.2224083623,1806.37675268611,1602.99277512642,1567.19117517986,1664.74112953555,1324.55106734599,1574.16741712885,1749.58537167672,1734.32770373188
pQBR0052,10185.4280608898,10108.6795950805,9482.92124748063,10071.4721668503,8938.16552719673,8066.33256897989,11627.1850419948,8405.1098762646,7852.02753697868
pQBR0053,550.790046513781,360.882876736528,394.92363202717,370.79680623016,406.695347138039,364.609229789877,462.693865694963,547.79466893758,459.534198073437
pQBR0054,581.20491656748,413.248063657665,479.928058865819,530.457647227491,397.870193952455,420.753502458763,612.424985758215,407.375053132107,433.820682500114
pQBR0055,1176.21545095996,903.362386709236,957.390623096169,1079.69000104703,871.490029581513,860.296984338925,1262.77976770988,861.662667048945,885.326374610012
pQBR0056,939.967048416721,747.766524115505,814.667407633872,870.312030402152,896.127814770208,760.346228906221,931.845321855646,948.452687805008,820.499670228754
pQBR0057,845.484990538001,999.09916138766,870.00951505068,875.492459154545,867.393281579207,876.926630511677,858.765671614227,716.052324240365,653.510652837128
pQBR0058,1263.23582624321,1724.22334986216,1666.88668841707,1664.824784751,1467.94464378864,1392.53377923903,1514.30280762943,1463.67769604989,1501.53883680593
pQBR0059,594.904151124819,1261.41091032342,1264.8684479245,1002.96800952595,1041.2789524693,1282.93913241812,742.307801033002,1452.34447735536,1875.22145456959
pQBR0060,2464.64273668909,2530.45733547334,2741.54991787706,2359.8722194023,2722.80162097047,2823.24410170943,2691.90255348371,2768.83565919947,2476.51033033906
pQBR0061,1920.52560738508,2461.18809510377,3007.01309964817,2265.53536967045,3128.67682472349,3055.65066594972,2357.72499974204,2689.87510133435,2390.21331374757
pQBR0062,2299.23756156165,2582.34804321968,3034.47339178186,2533.18213305126,2886.85770404383,2898.85624293532,2508.96747209191,3008.52284001103,2406.47390035564
pQBR0063,1319.17369924395,1292.60016092416,1060.84066592756,1185.08653971276,1114.13160652722,1059.22259789353,1032.71434036146,1269.25081766026,1276.02055000428
pQBR0064,2045.40963875263,1733.41476124251,1309.61136727278,1969.36765270612,1274.25857325044,1048.33198781487,1447.58867960299,1396.34106736245,1225.19573347436
pQBR0065,1299.40723435944,1392.39283800818,1305.39208474072,1305.46804560323,1453.01683909142,1230.85288460173,1249.20974181687,1588.13517097013,1628.24752431019
pQBR0066,295.55445466568,329.71693519479,299.863549668143,297.73832619021,273.247211254303,374.422277242356,161.578082124213,205.565260547473,253.022878291447
pQBR0067,2561.69332954051,3032.94102181249,2636.20582259604,3162.54814476134,2641.43413923245,2265.21770580366,3494.80290709094,2916.28582963349,2710.19130509926
pQBR0068,3614.57178303981,3736.23169353712,3154.66320501639,4181.2817112799,3362.76621001955,2561.41586785391,4463.20054157161,3120.5963184286,2312.2715752558
pQBR0069,2949.42378905852,2524.48585134942,2377.19066984754,2926.23120586195,2582.19268024152,1928.00941207071,3081.37194664648,3009.26676686105,2833.79422145286
pQBR0070,5061.45724299245,4857.75944741927,4624.69548120939,5140.90077502255,4967.17394149756,4030.82606309913,5237.7280275777,5537.15381994706,5150.82287950445
pQBR0071,5186.17476904453,5110.7511485618,4742.20597598673,4934.29521069466,4694.45536051413,4019.9986588252,5039.06332583817,5174.03140249331,4822.09150060925
pQBR0072,4643.41116187691,3802.359688113,3324.96392313205,3876.24435285307,3318.06925490089,2913.42721044289,4537.78962043172,4338.80742017587,3749.16090123222
pQBR0073,925.406457305274,1005.09975695155,876.853247715779,916.64808757634,838.90226138135,988.058787167328,822.810909195596,1099.8189293888,1030.76073595639
pQBR0074,1359.57936830186,1483.70502288061,1303.41226527903,1308.09365421314,1331.23259591147,1408.01749489325,1339.51674837801,1331.11955635184,1108.5466631977
pQBR0075,1122.39598806968,940.149648629728,880.528139375735,899.205689359165,992.504083887794,1083.3235822374,1163.95265554572,986.951685892798,983.91599018703
pQBR0076,432.657564454414,505.399107399847,549.582185213669,560.214234357223,503.541527930902,576.023587322926,382.412029039088,498.238764853594,432.75356159771
pQBR0077,1295.03610355925,1829.82867077676,1846.41429935074,1762.56470022621,1710.32066949429,2158.97108618586,1565.59024663096,1686.21511832633,1994.48718512938
pQBR0078,71582.2926690568,102403.163595562,89631.5112482153,68123.7893003674,72018.9677223612,72400.2521986927,133438.264422376,83222.4687362071,112586.614961002
pQBR0079,62422.6914063406,93788.5360547275,80103.3942043092,69816.2603248142,70300.6752452877,69192.8167966481,141064.694087988,62282.7968258499,84127.5279360437
pQBR0080,3588.32459874457,7187.9392151447,5334.7999952294,5061.78022290345,4284.88604839457,4925.96692563626,9940.64423991036,3987.26393418647,5694.29007848443
pQBR0081,2841.02056118659,4370.05535309665,4189.47418552667,4160.86436928751,4539.74033543033,5235.09873853709,7398.01005524307,3982.32308668438,4705.92635376347
pQBR0082,4537.57237932208,5873.65338731291,5755.96473375173,5668.4105481122,7182.94734565695,7502.90865610024,9472.89179302569,6248.53673920981,6125.67051955151
pQBR0083,2127.4451122756,2848.94158325105,2923.88413803602,2931.5132116487,3704.94992063115,3869.82977981529,4945.16270803941,3411.10298782513,3428.83209331718
pQBR0084,1194.57201895671,1611.76618669456,1561.38165065265,1754.47432627702,2036.19760930454,1989.35724781786,2476.27857550397,1702.28836606975,1714.04973801126
pQBR0085,5583.52947461068,6953.38578125184,5951.07188269458,6059.14959468385,7632.47362337442,6498.47497798421,6712.35731842136,8384.18857213317,6004.93879901649
pQBR0086,5834.41077066584,8196.40356169464,7292.71978481991,6601.95770799627,9216.22566400249,6651.59644306395,7835.49270634783,8273.11924094101,7255.94179547584
pQBR0087,1349.36469394381,1410.99424470417,1401.08698497918,1412.98637820008,1671.12566725605,1560.94595413708,1479.55816111923,1613.63163995352,1556.4379026976
pQBR0088,628.643502481356,558.881157473484,423.809132930428,570.89275388765,595.958954597379,321.80793780245,401.921973684627,429.989719310311,479.640846118993
pQBR0089,12046.4281997455,10734.1357940637,12269.9210554636,11621.3798586798,9686.94686727143,10240.9792485684,13788.6319104256,10081.4687783574,8893.33098227116
pQBR0090,2351.2028621636,2480.40861907959,2372.2913419692,2789.54254849711,2541.53398448567,2326.52909495422,2481.59461347803,2701.01335477187,2523.4456505491
pQBR0091,1676.97057941364,1574.59377968697,1390.66786421265,1881.46696751001,1356.29127400216,1482.45503426108,1816.32051016234,1181.05555485501,1246.45889603633
pQBR0092,7159.72364336186,6025.86122942202,6648.32608768739,7216.60990622937,5931.46385405681,6873.05843571612,6991.5272832666,7573.66910919023,9314.40470710389
pQBR0093,6316.04018013844,5811.87395772074,6608.02838992379,6490.99447229647,5619.31516575415,6162.35134786603,6949.01554712702,4674.26273335085,4674.00149632988
pQBR0094,1660.20079912026,1681.37594591211,2011.48852903539,1758.78818378499,1826.67867532189,2109.88265202773,1699.16034758848,1523.17492213039,1761.91875827885
pQBR0095,5139.95280591384,5712.6727141899,6868.90674780959,5001.9664050646,5149.30215264649,6015.28569223125,6794.24388855488,4297.42726856876,4562.56260130554
pQBR0096,5077.10407267935,4715.94327978618,5278.55304727464,4615.62608876543,4118.87673919653,4031.47835896478,5722.92735568496,3748.33146329095,4283.59249673074
pQBR0097,1654.23334546951,1463.25124604379,1768.38914538283,1565.35041407575,1760.07563170716,1684.40631482962,1703.19540203046,1662.88540615463,1761.46335435202
pQBR0098,1773.43327890004,1611.4968407409,1710.29271000924,1689.76166941716,1601.79461148024,1926.62831650333,2498.49363034938,1447.29841509077,2022.11114781615
pQBR0099,1713.29622078022,1672.08903309161,1789.57028680155,1719.90234579473,1595.01010509371,1878.74148365724,1787.1006172574,1830.63150767333,2080.14000903064
pQBR0100,5357.837720872,4116.91387013908,3909.57233405168,4130.0559247242,3468.90666970401,3558.8652094323,4483.13673266802,3622.78541529547,3415.80885693453
pQBR0101,2677.02047846137,2732.03586261809,2807.94325523905,2924.31047648495,2502.74059777255,2497.27189411868,2711.02754065614,2475.23249032501,2731.49698155539
pQBR0102,3048.06243275975,2795.15592612522,2804.8110906191,2987.12236602981,2957.38564795203,3220.96010441289,2593.86082581569,3207.9029609129,2480.93957151833
pQBR0103,5140.21223103202,4747.67121014965,5356.36143255063,4806.97739966564,5391.48589620685,6558.3624843265,3982.68137560221,5602.48188092521,5702.15169882919
pQBR0104,1419.65763336605,1291.74982882115,1461.80742483402,1335.08049644461,1392.46652768806,1791.8315227811,1644.87431813301,1043.18650503583,1245.5072554072
pQBR0105,2726.91049781776,2860.47927759763,3739.15866832073,2862.79282273671,2999.00335998695,3398.30458108901,3571.87137509826,2696.7501305815,3364.5863590799
pQBR0106,1174.00900916563,968.455670558582,930.824538326073,1144.11806243878,853.663526527555,755.009255456107,906.171886021852,650.526416061666,901.394003913279
pQBR0107,4184.08768881829,4356.50754342032,4705.67342779458,4988.91511492531,4851.20586082929,4325.85081308826,4424.3931669986,4980.62184022771,5235.23615633976
pQBR0108,3504.77978237243,3221.75726197474,2988.25170822164,3062.11905786025,2861.96254973614,2643.54639368605,3445.95283084332,2803.66075483819,2701.83463152131
pQBR0109,1212.23262723661,1095.1609604061,1044.08653219982,1244.6025203312,966.245981158454,1045.4941566908,1130.9704951623,1000.65073539711,1187.20185881261
pQBR0110,1539.47528528697,1770.16034455578,1887.18991291803,2157.81419010194,1690.51577644574,1494.82578497846,2335.11433595091,1721.65158036375,2259.24839855502
pQBR0111,18055.78494496,15094.0951158897,17271.4872688043,17851.6028410846,13610.4863651654,14498.2259322502,18977.1795397165,15029.7262533906,19104.1714262217
pQBR0112,9487.32818419168,8694.86297207639,9479.34743805555,9807.96447248658,7911.29439635448,7430.98470031983,10805.2861184662,6871.59595552008,8290.09333902062
pQBR0113,5104.48117325415,4933.41953511777,5424.100075547,5191.82187245438,5120.67388845128,4929.47153167191,6187.1175613599,4176.1829814804,4353.96587130067
pQBR0114,2876.59920457807,2489.15614163904,2508.07248237994,2546.88715390413,2267.77009251631,2285.96427230864,2873.86667444023,2123.44150601178,2116.91016070543
pQBR0115,2266.15745298151,3485.04519421105,3146.44198648194,2808.73427993422,3878.49785444023,3395.69870573061,2565.76588620527,4199.75492815747,3618.18292479876
pQBR0116,3489.09228878735,4578.1385944288,3985.57378627988,3917.85829224895,4476.36691607658,4270.63825131875,3548.89517314262,5019.55433598274,4074.72260248518
pQBR0117,6500.60582072818,7687.99591643137,7043.18528489325,7998.4400641411,7823.97239588644,6874.73427121714,6737.82397105306,9070.38077119946,7908.80629460898
pQBR0118,2599.74804110157,3665.61381509121,3548.84965348383,3977.59795144733,3760.22110319636,3899.28595871344,2811.99085406289,4548.32032827143,4661.89711398899
pQBR0119,463.265017365526,530.136088883224,544.985055300853,512.680828784478,610.091517648049,591.238020289868,462.928532180808,606.016804638627,632.029184713819
pQBR0120,2053.55127431088,2784.41589037894,3174.57680630759,2025.0657418369,3482.97200403262,3280.18226879543,2182.37046308435,3854.98136007529,2693.70068611294
pQBR0121,1186.96187090454,1666.45111088598,1826.96788176189,1506.92050806474,2227.86924855424,1925.60028296069,1250.20261226611,2145.47944201648,1524.91466827434
pQBR0122,1492.49870565394,1241.84053114889,1614.01014607002,1146.63772741465,1412.12037280828,1573.1907759889,1639.46766050641,1270.23756933308,1448.83748272972
pQBR0123,434.660608734296,413.374361067968,574.113129127729,455.621906568557,465.861400217363,598.270139116499,538.809260176637,459.498817694352,526.740529035744
pQBR0124,1254.9842815104,1343.60588142659,1501.48486438128,1373.55368063469,1346.97472779124,1462.89892022337,1453.38693056546,1282.55713949852,1512.2287684699
pQBR0125,590.212683558446,541.875468318882,531.337509565017,644.570166406275,618.792920602456,620.175140637667,508.631597366066,530.361285965288,516.944031159905
pQBR0126,1911.26917010252,2235.42834577688,2135.82644732445,1923.84764615212,2706.83916589628,2783.78543064728,1797.85009465444,2416.55451087029,2098.38685121512
pQBR0127,4707.92445936774,4980.95590230272,6001.42710631737,4076.99742813389,4626.74686973749,4884.45695030137,4375.20526117839,5222.3807934108,6275.08902724244
pQBR0128,4170.80043170104,4098.86835441091,4994.6087430865,3581.40307748822,3780.94507355039,4031.09924683773,3593.34874112828,3925.37665201286,4426.07568588187
pQBR0129,453.576149528271,489.105147849135,495.847800641118,419.321497127721,576.987956208176,619.304099141382,433.648876195681,651.67914081809,569.749040209337
pQBR0130,3554.75854863182,3196.3850403717,2488.10280790455,2894.71822218504,3071.23539759952,2791.17073328745,2840.7543710157,3367.0619579072,2256.03132052872
pQBR0131,4469.42566318784,4973.96202412358,2882.16437680805,5353.54687779021,4755.71628281531,3106.31119994172,4337.67776403933,5292.96106458051,4107.61824568077
pQBR0132,2206.3845718564,2069.08035787377,1393.87586389941,2201.35844297032,2033.94227523591,1276.65021510234,2196.17911792648,1770.98502653031,1492.93381898137
pQBR0133,1602.76582296171,1674.7229186147,1409.66782112034,1691.2764714516,1895.48505508768,1732.57727023629,1743.27848871935,1755.88551641278,1737.73895599777
pQBR0134,11607.898047029,13945.7163033832,7830.62733228904,10221.6133160381,18849.4223592744,12149.0915017151,11341.6843325973,16832.9203561595,9501.5453307537
pQBR0135,4894.81955842265,3491.33243301817,2422.53677754359,3827.31535502556,2981.52507140956,2855.62905812304,2694.26992706893,3742.32663847548,4075.3165529037
pQBR0136,387.023354814435,554.967214829378,368.960231756475,326.865546385347,643.730163466229,653.668486993967,329.807122282261,753.654964586552,495.326691132262
pQBR0137,23754.1021151153,18234.9526907236,20397.582262311,22328.7991292065,15544.9418137726,16367.9554671906,17163.4602139048,16507.9204875378,17198.0252810121
pQBR0138,22872.6085516382,17006.3472341698,19056.7872381615,20354.6446294054,14159.9326756237,16732.7771732216,13550.963966163,15006.9284196441,16591.592929173
pQBR0139,2111.92674347284,1540.68121572478,1840.06019769165,1692.53404295189,1495.62923638227,1525.66760904358,1740.85758241732,1895.79386419808,2125.92925451245
pQBR0140,1054.37933321071,1119.38382700927,870.454923271652,921.688183318454,1500.6840390717,1149.09434009098,1045.04242706918,1936.73055391834,1050.38474836176
pQBR0141,1424.12196554644,1242.63276625421,1243.4933125453,1322.76872275745,1196.08528189117,1210.03515508204,1413.66402600975,1011.1141436529,1113.98692936452
pQBR0142,7353.29369346703,6557.09047473725,6983.35948971378,6564.83931013802,6024.106683479,5920.01246089797,7714.44314711153,5426.52088992927,5534.02753072764
pQBR0143,253.72604511223,179.251833440454,75.3538649827364,146.154223950513,121.238383820669,94.4140437874658,174.77192206765,92.8774205977945,28.7678937419132
pQBR0144,2167.89572234193,1790.16870706038,1996.95822653801,2087.41078912598,2097.00722652091,2084.6491837762,2067.24380818814,1796.78461448195,1588.55535218798
pQBR0145,3129.13373095993,3299.23654276417,3652.14647593362,3744.9294664314,3285.32816635578,3104.90768697914,4094.63473962931,3735.3516328359,4213.69350154677
pQBR0146,7588.60433009601,7045.08632720436,7136.9093418488,8263.95363430246,5955.54228651982,6990.87409446386,6931.15032947546,7132.60745401684,10223.5526379325
pQBR0147,19678.3476752979,17523.6592371388,19026.2611822411,19104.5923702278,15369.9556960707,14846.4735083736,26340.4589478891,15806.7593286857,15531.0186874258
pQBR0148,9058.9595365996,8564.25426437726,8156.41883479803,8723.4011314777,6413.95953516457,6124.42421605466,12038.6666049158,6453.62287452043,6629.40129119199
pQBR0149,870.425257622857,622.54997755758,769.919924823611,782.693440164815,601.227827797301,597.318395510278,829.071959586484,676.584873297982,656.527128834475
pQBR0150,569.024327484141,465.175003345473,402.436672361789,525.543373310327,421.830237694245,407.058854284376,644.436940377352,352.376393937386,431.341915983042
pQBR0151,2081.04448346676,2270.1424732122,2723.42089384352,2285.76456336389,2404.03519539315,2569.45066757182,2534.83529859889,2516.36778565753,2752.18524271747
pQBR0152,2802.20003448723,2967.11801823871,2859.27125022729,2147.13535231567,2670.33483423053,3443.07124949305,2918.68071398299,2338.03810179773,2226.97342143281
pQBR0153,763.622111622534,670.220366059082,600.142710631738,566.393543595051,603.912222997314,628.504721281152,625.485216040091,498.772220916091,516.182891129827
pQBR0154,4318.23586672463,3680.44005296227,4114.87421503859,4112.48578584889,3813.59553842553,3937.82614849743,4342.48748118621,3704.61975138001,3986.07099238287
pQBR0155,140.803470537358,138.708503771601,87.5277388220526,158.793773968112,142.62171514249,136.423166361571,115.288145083222,138.655783584962,126.511439145723
pQBR0156,261.706455543996,235.970649826423,252.712503029175,279.333092305855,302.701428311446,301.071545586868,288.980838599105,309.161473646595,242.591526119141
pQBR0157,2000.66566479919,999.09916138766,1304.58653928445,1818.33049209021,1287.37202375503,1303.0636678286,1476.21957238033,1107.26451208292,976.510170906053
pQBR0158,2987.81965617085,2593.77499863765,2145.67847901662,3595.96974756326,2221.45440855736,1725.10156821969,2594.10598967065,2321.16850062463,2132.1029132375
pQBR0159,6195.37209539012,5326.42646228845,5747.98612488751,5887.08461023854,5371.00789520675,5456.98077345935,5367.17189029605,4853.24663652355,5513.63631590751
